lexeme     lineno tokenName       value      parentNode  leaf nodeSymbol
-------------------------------------------------------------------
tag        54    TK_FIELDID                 oneExpansion yes ----
----       0     NONTERMINAL                option_single_constructed no  oneExpansion
----       0     NONTERMINAL                option_single_constructed no  moreExpansions
----       0     NONTERMINAL                singleOrRecId no  option_single_constructed
----       0     NONTERMINAL                var          no  singleOrRecId
----       0     NONTERMINAL                factor       no  var
----       0     NONTERMINAL                term         no  factor
----       0     NONTERMINAL                term         no  termPrime
----       0     NONTERMINAL                arithmeticExpression no  term
+          54    TK_PLUS                    lowPrecedenceOperators yes ----
----       0     NONTERMINAL                expPrime     no  lowPrecedenceOperators
d4         54    TK_ID                      singleOrRecId yes ----
.          54    TK_DOT                     oneExpansion yes ----
s          54    TK_FIELDID                 oneExpansion yes ----
----       0     NONTERMINAL                option_single_constructed no  oneExpansion
.          54    TK_DOT                     oneExpansion yes ----
ln         54    TK_FIELDID                 oneExpansion yes ----
----       0     NONTERMINAL                moreExpansions no  oneExpansion
.          54    TK_DOT                     oneExpansion yes ----
beginpoint 54    TK_FIELDID                 oneExpansion yes ----
----       0     NONTERMINAL                moreExpansions no  oneExpansion
.          54    TK_DOT                     oneExpansion yes ----
x          54    TK_FIELDID                 oneExpansion yes ----
----       0     NONTERMINAL                moreExpansions no  oneExpansion
----       0     NONTERMINAL                moreExpansions no  moreExpansions
----       0     NONTERMINAL                moreExpansions no  moreExpansions
----       0     NONTERMINAL                moreExpansions no  moreExpansions
----       0     NONTERMINAL                option_single_constructed no  moreExpansions
----       0     NONTERMINAL                singleOrRecId no  option_single_constructed
----       0     NONTERMINAL                var          no  singleOrRecId
----       0     NONTERMINAL                factor       no  var
----       0     NONTERMINAL                term         no  factor
----       0     NONTERMINAL                term         no  termPrime
----       0     NONTERMINAL                expPrime     no  term
-          54    TK_MINUS                   lowPrecedenceOperators yes ----
----       0     NONTERMINAL                expPrime     no  lowPrecedenceOperators
b5c6       54    TK_ID                      singleOrRecId yes ----
.          54    TK_DOT                     oneExpansion yes ----
s          54    TK_FIELDID                 oneExpansion yes ----
----       0     NONTERMINAL                option_single_constructed no  oneExpansion
.          54    TK_DOT                     oneExpansion yes ----
tr         54    TK_FIELDID                 oneExpansion yes ----
----       0     NONTERMINAL                moreExpansions no  oneExpansion
.          54    TK_DOT                     oneExpansion yes ----
base       54    TK_FIELDID                 oneExpansion yes ----
----       0     NONTERMINAL                moreExpansions no  oneExpansion
.          54    TK_DOT                     oneExpansion yes ----
beginpoint 54    TK_FIELDID                 oneExpansion yes ----
----       0     NONTERMINAL                moreExpansions no  oneExpansion
.          54    TK_DOT                     oneExpansion yes ----
y          54    TK_FIELDID                 oneExpansion yes ----
----       0     NONTERMINAL                moreExpansions no  oneExpansion
----       0     NONTERMINAL                moreExpansions no  moreExpansions
----       0     NONTERMINAL                moreExpansions no  moreExpansions
----       0     NONTERMINAL                moreExpansions no  moreExpansions
----       0     NONTERMINAL                moreExpansions no  moreExpansions
----       0     NONTERMINAL                option_single_constructed no  moreExpansions
----       0     NONTERMINAL                singleOrRecId no  option_single_constructed
----       0     NONTERMINAL                var          no  singleOrRecId
----       0     NONTERMINAL                factor       no  var
----       0     NONTERMINAL                term         no  factor
----       0     NONTERMINAL                term         no  termPrime
----       0     NONTERMINAL                expPrime     no  term
----       0     NONTERMINAL                expPrime     no  expPrime
----       0     NONTERMINAL                expPrime     no  expPrime
----       0     NONTERMINAL                arithmeticExpression no  expPrime
----       0     NONTERMINAL                assignmentStmt no  arithmeticExpression
;          54    TK_SEM                     assignmentStmt yes ----
----       0     NONTERMINAL                stmt         no  assignmentStmt
----       0     NONTERMINAL                otherStmts   no  stmt
b5         55    TK_ID                      singleOrRecId yes ----
----       0     NONTERMINAL                singleOrRecId no  option_single_constructed
----       0     NONTERMINAL                assignmentStmt no  singleOrRecId
<---       55    TK_ASSIGNOP                assignmentStmt yes ----
b5         55    TK_ID                      singleOrRecId yes ----
----       0     NONTERMINAL                singleOrRecId no  option_single_constructed
----       0     NONTERMINAL                var          no  singleOrRecId
----       0     NONTERMINAL                factor       no  var
----       0     NONTERMINAL                term         no  factor
----       0     NONTERMINAL                term         no  termPrime
----       0     NONTERMINAL                arithmeticExpression no  term
+          55    TK_PLUS                    lowPrecedenceOperators yes ----
----       0     NONTERMINAL                expPrime     no  lowPrecedenceOperators
1          55    TK_NUM          1          var          yes ----
----       0     NONTERMINAL                factor       no  var
----       0     NONTERMINAL                term         no  factor
----       0     NONTERMINAL                term         no  termPrime
----       0     NONTERMINAL                expPrime     no  term
----       0     NONTERMINAL                expPrime     no  expPrime
----       0     NONTERMINAL                arithmeticExpression no  expPrime
----       0     NONTERMINAL                assignmentStmt no  arithmeticExpression
;          55    TK_SEM                     assignmentStmt yes ----
----       0     NONTERMINAL                stmt         no  assignmentStmt
----       0     NONTERMINAL                otherStmts   no  stmt
d4         56    TK_ID                      singleOrRecId yes ----
----       0     NONTERMINAL                singleOrRecId no  option_single_constructed
----       0     NONTERMINAL                assignmentStmt no  singleOrRecId
<---       56    TK_ASSIGNOP                assignmentStmt yes ----
b5c6       56    TK_ID                      singleOrRecId yes ----
----       0     NONTERMINAL                singleOrRecId no  option_single_constructed
----       0     NONTERMINAL                var          no  singleOrRecId
----       0     NONTERMINAL                factor       no  var
----       0     NONTERMINAL                term         no  factor
/          56    TK_DIV                     highPrecedenceOperators yes ----
----       0     NONTERMINAL                termPrime    no  highPrecedenceOperators
