Lexeme                CurrentNode                     LineNo  TokenName               ValueIfNum    ParentNodeSymbol                IsLeaf  NodeSymbol
;                     ----                            45      TK_SEM                  ---           assignmentStmt                  yes     ----
----                  stmt                            0       ----                    ---           otherStmts                      no      stmt
----                  otherStmts                      0       ----                    ---           otherStmts                      no      otherStmts
eps                   ----                            46      TK_EOF                  ---           otherStmts                      yes     ----
----                  otherStmts                      46      ----                    ---           otherStmts                      no      otherStmts
endwhile              ----                            46      TK_ENDWHILE             ---           iterativeStmt                   yes     ----
----                  stmt                            0       ----                    ---           otherStmts                      no      stmt
----                  otherStmts                      0       ----                    ---           otherStmts                      no      otherStmts
d4                    ----                            47      TK_ID                   ---           singleOrRecId                   yes     ----
----                  singleOrRecId                   47      ----                    ---           assignmentStmt                  no      singleOrRecId
eps                   ----                            47      TK_EOF                  ---           option_single_constructed       yes     ----
----                  option_single_constructed       47      ----                    ---           singleOrRecId                   no      option_single_constructed
----                  assignmentStmt                  0       ----                    ---           stmt                            no      assignmentStmt
<---                  ----                            47      TK_ASSIGNOP             ---           assignmentStmt                  yes     ----
b5c6                  ----                            47      TK_ID                   ---           singleOrRecId                   yes     ----
----                  singleOrRecId                   47      ----                    ---           var                             no      singleOrRecId
eps                   ----                            47      TK_EOF                  ---           option_single_constructed       yes     ----
----                  option_single_constructed       47      ----                    ---           singleOrRecId                   no      option_single_constructed
----                  var                             0       ----                    ---           factor                          no      var
----                  factor                          0       ----                    ---           term                            no      factor
----                  term                            0       ----                    ---           arithmeticExpression            no      term
/                     ----                            47      TK_DIV                  ---           highPrecedenceOperators         yes     ----
----                  highPrecedenceOperators         47      ----                    ---           termPrime                       no      highPrecedenceOperators
----                  termPrime                       0       ----                    ---           term                            no      termPrime
d5cb34567             ----                            47      TK_ID                   ---           singleOrRecId                   yes     ----
----                  singleOrRecId                   47      ----                    ---           var                             no      singleOrRecId
eps                   ----                            47      TK_EOF                  ---           option_single_constructed       yes     ----
----                  option_single_constructed       47      ----                    ---           singleOrRecId                   no      option_single_constructed
----                  var                             0       ----                    ---           factor                          no      var
----                  factor                          0       ----                    ---           termPrime                       no      factor
